date,Open,High,Low,Close,Change,Volume,TTM P_E Ratio_NZZH_JSZB,Index Points_NZZH_JSZB,Percentile_NZZH_JSZB
2022-10-27,10971.95,10998.73,10780.5,10792.67,-0.0163,4178789000,27.46,10859.72,27.12
2022-10-28,10766.2,11117.04,10766.2,11102.45,0.0287,3976362800,29.34,11102.45,36.27
2022-10-31,11028.43,11047.94,10914.0,10988.15,-0.0103,4064059000,29.34,11102.45,36.27
2022-11-01,11154.74,11156.35,10881.19,10890.85,-0.0089,4023956600,29.34,11102.45,36.27
2022-11-02,10885.01,10993.24,10522.9,10524.8,-0.0336,4543085200,29.34,11102.45,36.27
2022-11-03,10399.45,10486.01,10319.54,10342.94,-0.0173,4352800800,29.34,11102.45,36.27
2022-11-04,10548.14,10553.63,10262.93,10475.25,0.0128,4534770400,27.89,10475.25,28.22
2022-11-07,10516.94,10587.96,10428.91,10564.52,0.0085,3911967200,27.89,10475.25,28.22
2022-11-08,10611.53,10745.64,10472.73,10616.2,0.0049,4393372400,27.89,10475.25,28.22
2022-11-09,10528.45,10564.97,10344.01,10353.17,-0.0248,4310745300,27.89,10475.25,28.22
2022-11-10,10869.17,11119.12,10779.95,11114.15,0.0735,5466662600,27.89,10475.25,28.22
2022-11-11,11124.75,11352.43,11069.83,11323.33,0.0188,5103569900,30.63,11323.33,44.32
2022-11-14,11233.9,11350.13,11167.17,11196.22,-0.0112,4409981200,30.63,11323.33,44.32
2022-11-15,11474.82,11492.62,11241.15,11358.41,0.0145,4670789600,30.63,11323.33,44.32
2022-11-16,11260.09,11286.1,11162.92,11183.66,-0.0154,3945969700,30.63,11323.33,44.32
2022-11-17,11008.67,11198.84,11006.21,11144.96,-0.0035,3660766900,30.63,11323.33,44.32
2022-11-18,11257.01,11259.44,11059.16,11146.06,0.0001,3525556100,30.12,11146.06,40.76
2022-11-21,11091.01,11128.78,10999.75,11024.51,-0.0109,3466040700,30.12,11146.06,40.76
2022-11-22,11058.56,11179.87,10975.66,11174.41,0.0136,3709265800,30.12,11146.06,40.76
2022-11-23,11174.61,11310.82,11174.61,11285.32,0.0099,3946331600,30.12,11146.06,40.76
2022-11-25,11231.0,11261.57,11206.38,11226.36,-0.0052,1962803300,30.53,11226.36,43.64
2022-11-28,11147.57,11217.75,11020.69,11049.5,-0.0158,3826684100,30.53,11226.36,43.64
2022-11-29,11060.02,11086.02,10944.37,10983.78,-0.0059,4139458200,30.53,11226.36,43.64
2022-11-30,10995.2,11468.47,10966.53,11468.0,0.0441,5851579600,30.53,11226.36,43.64
2022-12-01,11475.17,11546.77,11378.75,11482.45,0.0013,4467736700,30.53,11226.36,43.64
2022-12-02,11308.38,11492.32,11296.72,11461.5,-0.0018,3921751200,30.18,11461.5,41.36
2022-12-05,11380.99,11425.51,11193.03,11239.94,-0.0193,3994660200,30.18,11461.5,41.36
2022-12-06,11228.42,11241.42,10956.2,11014.89,-0.02,4173761100,30.18,11461.5,41.36
2022-12-07,10963.95,11039.81,10910.62,10958.55,-0.0051,3757045200,30.18,11461.5,41.36
2022-12-08,11011.33,11119.16,10939.47,11082.0,0.0113,3763110600,30.18,11461.5,41.36
2022-12-09,11038.17,11138.7,10999.26,11004.62,-0.007,3746511700,28.93,11004.62,33.9
2022-12-12,11015.48,11144.67,10984.82,11143.74,0.0126,4374837900,28.93,11004.62,33.9
2022-12-13,11542.84,11571.64,11160.54,11256.81,0.0101,5230218100,28.93,11004.62,33.9
2022-12-14,11248.09,11352.09,11065.24,11170.89,-0.0076,4752207800,28.93,11004.62,33.9
